total_sqft,bath,bhk,balcony,garage_sqft,price
1893,2,3,2,237,95
900,2,2,1,113,45
1105,2,2,1,139,75
1800,2,3,2,225,110
1150,2,2,1,144,80
1250,2,2,1,157,66.25
1332,2,2,1,167,79
1730,2,3,2,217,120
1230,2,2,1,154,66.25
1351,2,2,1,169,77
1303,2,2,1,163,80
1607,2,3,2,201,112
770,2,1,1,97,43.82
1700,2,2,1,213,76
1060,2,2,1,133,58.5
1650,2,3,2,207,100
1607,2,3,2,201,112
1198,2,2,1,150,80
1935,2,3,2,242,130
1424,2,2,1,178,90
2225,2,3,2,279,169
1862,2,3,2,233,120
1850,2,3,2,232,139
1936,2,3,2,242,126
1862,2,3,2,233,119
1424,2,2,1,178,90
2150,2,3,2,269,125
3530,2,4,2,442,290
1856,2,3,2,232,120
1852,2,3,2,232,130
1850,2,3,2,232,120
1367,2,2,1,171,86
3565,2,4,2,446,255
1409,2,2,1,177,95
1950,2,3,2,244,120
1921,2,3,2,241,129
1920,2,3,2,240,121
1935,2,3,2,242,125
1852,2,3,2,232,122
1950,2,3,2,244,120
1852,2,3,2,232,125
1850,2,3,2,232,121
1425,2,2,1,179,94
2395,2,3,2,300,150
900,2,2,1,113,40
1200,2,2,1,150,55
1900,2,3,2,238,135
924,2,2,1,116,45
900,2,2,1,113,60
1100,2,2,1,138,45
1200,2,2,1,150,55
1450,2,3,2,182,85
1200,2,2,1,150,55
1250,2,2,1,157,79
1190,2,2,1,149,50
1202,2,2,1,151,65
1340,2,2,1,168,75
2650,2,3,2,332,175
1450,2,3,2,182,90
1025,2,2,1,129,42
485,2,1,1,61,19.5
1167,2,2,1,146,43.76
1000,2,2,1,125,55
1141,2,2,1,143,42.79
1200,2,2,1,150,67
1200,2,2,1,150,58
1151,2,2,1,144,43.1
1141,2,2,1,143,42.75
900,2,2,1,113,48
1749,2,4,2,219,90
1151,2,2,1,144,42.9
1250,2,2,1,157,45
1151,2,2,1,144,43.16
1200,2,2,1,150,58
1200,2,3,2,150,66
1415,2,3,2,177,74
1200,2,2,1,150,50
1141,2,2,1,143,50
500,2,1,1,63,14
1100,2,2,1,138,31.5
982,2,2,1,123,24.55
500,2,1,1,63,14
900,2,2,1,113,22.5
908,2,2,1,114,26
870,2,2,1,109,36
937,2,2,1,118,35
960,2,2,1,120,37
500,2,1,1,63,14
1000,2,2,1,125,29.7
850,2,2,1,107,25.99
902,2,2,1,113,25.26
1470,2,3,2,184,54
810,2,2,1,102,25.5
890,2,2,1,112,27
1200,2,2,1,150,36
1319,2,3,2,165,42
1000,2,2,1,125,25
902,2,2,1,113,25
930,2,2,1,117,25.99
1074,2,2,1,135,26.85
500,2,1,1,63,14
1010,2,2,1,127,38
992,2,2,1,124,24.8
656,2,2,1,82,22
620,2,2,1,78,22
600,2,1,1,75,16.5
925,2,2,1,116,40
530,2,1,1,67,18
1800,2,3,2,225,68
351,2,1,1,44,16
1035,2,2,1,130,38.3
888,2,2,1,111,34
1200,2,4,2,150,36
766,2,2,1,96,28
967,2,3,2,121,45
620,2,2,1,78,23.5
1150,2,3,2,144,45
400,2,1,1,50,11.5
456,2,1,1,57,15
2400,2,3,2,300,95
420,2,1,1,53,12.5
614,2,2,1,77,28
1140,2,2,1,143,52
625,2,2,1,79,25
1850,2,4,2,232,86
1070,2,2,1,134,39
1500,2,3,2,188,121
1070,2,2,1,134,37
950,2,2,1,119,40
1280,2,3,2,160,45
710,2,2,1,89,25
950,2,2,1,119,32
1800,2,4,2,225,55
1843,2,3,2,231,87.54
1076,2,2,1,135,30.13
950,2,2,1,119,30
1750,2,3,2,219,100
3198,2,4,2,400,200
2422,2,4,2,303,160
1750,2,3,2,219,100
3200,2,4,2,400,205
1728,2,3,2,216,95
2062,2,4,2,258,140
1732.46,2,3,2,217,92
2062,2,4,2,258,150
1224,2,2,1,153,70
1777.26,2,3,2,223,105
1650,2,3,2,207,82
2062,2,4,2,258,140
1650,2,3,2,207,82
1224,2,2,1,153,67
1723,2,3,2,216,95
1777.26,2,3,2,223,89
1777.26,2,3,2,223,92
2060,2,3,2,258,140
920,2,2,1,115,40
1740,2,3,2,218,95
1190,2,2,1,149,55
600,2,1,1,75,28
2072,2,3,2,259,108
1100,2,2,1,138,55
900,2,2,1,113,50
2710,2,4,2,339,142
1240,2,2,1,155,60
900,2,2,1,113,44.5
450,2,1,1,57,11
1600,2,4,2,200,52.8
656,2,2,1,82,25
400,2,1,1,50,11
400,2,1,1,50,12
400,2,1,1,50,14
500,2,1,1,63,17
2168,2,4,2,271,95
395,2,1,1,50,10.25
420,2,1,1,53,17
418,2,1,1,53,12
1200,2,2,1,150,42
400,2,1,1,50,10
695,2,2,1,87,25
850,2,2,1,107,25
2400,2,3,2,300,120
450,2,1,1,57,12.5
782,2,1,1,98,19.55
656,2,2,1,82,25
400,2,1,1,50,11.5
460,2,1,1,58,13
418,2,1,1,53,11.5
1000,2,2,1,125,42
550,2,1,1,69,11.5
410,2,1,1,52,10
1700,2,3,2,213,65
400,2,1,1,50,10.25
656,2,2,1,82,25
1500,2,3,2,188,90
520,2,1,1,65,15
1060,2,2,1,133,55
999,2,2,1,125,45
2400,2,5,3,300,225
1194,2,2,1,150,65
1200,2,2,1,150,67
2400,2,2,1,300,228
1194,2,2,1,150,65
1260,2,3,2,158,185
950,2,2,1,119,52
1850,2,3,2,232,170
1200,2,2,1,150,80
1274,2,2,1,160,70
1070,2,2,1,134,48
1280,2,2,1,160,80
1100,2,2,1,138,70
1000,2,2,1,125,58
2990,2,5,3,374,416
1265,2,2,1,159,55
2200,2,3,2,275,220
2780,2,3,2,348,325
2400,2,3,2,300,360
965,2,2,1,121,56
1147,2,2,1,144,75
1750,2,3,2,219,172
1400,2,2,1,175,90
1200,2,2,1,150,70
1100,2,2,1,138,47
930,2,2,1,117,46
2500,2,3,2,313,345
1150,2,2,1,144,63
3300,2,6,3,413,165
1450,2,3,2,182,81
1776,2,3,2,222,75
1458,2,3,2,183,79
935,2,2,1,117,51.5
1020,2,2,1,128,46.5
1600,2,3,2,200,112
1300,2,3,2,163,75
1540,2,3,2,193,78
450,2,1,1,57,20
1196,2,2,1,150,56.81
1470,2,3,2,184,99
1611,2,3,2,202,66
1675,2,3,2,210,75
1141,2,2,1,143,46
1500,2,2,1,188,57
1050,2,2,1,132,45
1141,2,2,1,143,45.9
1230,2,3,2,154,53
1105,2,2,1,139,40
1410,2,3,2,177,65
1450,2,2,1,182,55.99
1100,2,2,1,138,38
1061,2,2,1,133,33.84
1061,2,2,1,133,38.95
1061,2,2,1,133,34
1245,2,2,1,156,58
1494,2,3,2,187,94.55
1274,2,2,1,160,81
1842,2,3,2,231,115
1494,2,3,2,187,94.55
1274,2,2,1,160,81
1494,2,3,2,187,94.55
1842,2,3,2,231,115
1842,2,3,2,231,115
1842,2,3,2,231,115
1210,2,2,1,152,80.9
1210,2,2,1,152,72
1205,2,2,1,151,78.5
790.5,2,1,1,99,41.9
1020.07,2,2,1,128,68.38
1205.47,2,2,1,151,81
1007,2,2,1,126,65
1210,2,2,1,152,74
1210,2,2,1,152,83
675,2,1,1,85,45
656,2,1,1,82,43
1012,2,2,1,127,64
1007,2,2,1,126,62
1007,2,2,1,126,67
1007,2,2,1,126,66
645,2,1,1,81,34.18
790.5,2,1,1,99,42.295
1012,2,2,1,127,65
656,2,1,1,82,38.77
645,2,1,1,81,39
645,2,1,1,81,41
1210,2,2,1,152,82
656,2,1,1,82,34.77
1205,2,2,1,151,73.87
1012,2,2,1,127,70
1007,2,2,1,126,68
1205,2,2,1,151,79
1012,2,2,1,127,68
1077,2,2,1,135,37.64
1470,2,3,2,184,88.64
1300,2,3,2,163,75
1800,2,3,2,225,115
1125,2,2,1,141,63
1310,2,2,1,164,80
2600,2,3,2,325,135
1900,2,3,2,238,170
1260,2,2,1,158,75
1170,2,2,1,147,46.79
1350,2,3,2,169,83
1330,2,2,1,167,78
1400,2,3,2,175,78
1700,2,3,2,213,125
1020,2,2,1,128,40.79
1600,2,2,1,200,63.98
1041,2,2,1,131,36.44
2400,2,1,1,300,200
1390,2,2,1,174,86
1460,2,2,1,183,70
1200,2,2,1,150,60
1290,2,2,1,162,80
2582,2,3,2,323,250
1186,2,2,1,149,65
1650,2,3,2,207,101
1181,2,2,1,148,75
1105,2,2,1,139,90
720,2,1,1,90,60
1040,2,2,1,130,45
1330,2,2,1,167,77
1200,2,2,1,150,49
1185,2,2,1,149,67
1000,2,2,1,125,50
1650,2,3,2,207,90.75
1650,2,3,2,207,101
1310,2,2,1,164,80.43
600,2,2,1,75,27
1430,2,2,1,179,87.8
1020,2,2,1,128,42.83
1540,2,3,2,193,80
1195,2,2,1,150,35.84
1683,2,3,2,211,115
1800,2,3,2,225,125
1175,2,2,1,147,41.13
1750,2,3,2,219,89
1800,2,3,2,225,175
1450,2,2,1,182,50.75
1770,2,3,2,222,108
1800,2,3,2,225,125
1200,2,3,2,150,74.52
1100,2,2,1,138,63
1020,2,2,1,128,40.79
1260,2,2,1,158,75
1426,2,3,2,179,85
1700,2,2,1,213,150
1200,2,4,2,150,150
1500,2,3,2,188,120
2400,2,5,3,300,510
1240,2,3,2,155,59.52
1250,2,2,1,157,110
1260,2,3,2,158,95
2400,2,3,2,300,300
1400,2,2,1,175,100
2800,2,5,3,350,425
3000,2,3,2,375,450
1200,2,3,2,150,198
1245,2,2,1,156,125
1305,2,3,2,164,58.7
1145,2,2,1,144,58.4
1650,2,3,2,207,118
2400,2,4,2,300,240
1350,2,3,2,169,68
1305,2,3,2,164,59
1305,2,3,2,164,60
1200,2,2,1,150,42
1305,2,3,2,164,59
1480,2,3,2,185,75.48
1305,2,3,2,164,59
1304,2,2,1,163,111
3000,2,6,3,375,150
1085,2,2,1,136,50
1500,2,3,2,188,100
2100,2,4,2,263,147
1420,2,3,2,178,95
1300,2,3,2,163,58.5
1305,2,3,2,164,49
1035,2,2,1,130,35.77
1355,2,3,2,170,61
1510,2,3,2,189,47.57
1650,2,3,2,207,51.98
1630,2,3,2,204,51.35
1510,2,3,2,189,47.57
1315,2,3,2,165,49
1540,2,3,2,193,48.51
920,2,2,1,115,41.5
1177.5,2,2,1,148,59.935
4800,2,4,2,600,190
2800,2,4,2,350,89
2200,2,4,2,275,195
1160,2,2,1,145,59
1180,2,2,1,148,59.47
1423,2,3,2,178,71.73
1392,2,3,2,174,69.46
1410.5,2,3,2,177,70.385
4800,2,4,2,600,200
1184,2,2,1,148,53
1145,2,2,1,144,55
1250,2,2,1,157,60
1365,2,2,1,171,73
1903,2,5,3,238,140
1222,2,2,1,153,80
870,2,2,1,109,38
1200,2,2,1,150,60
527,2,1,1,66,35
1340,2,2,1,168,73
1008,2,2,1,126,52
1105,2,2,1,139,57
1200,2,2,1,150,70
1050,2,2,1,132,64.8
753,2,2,1,95,59.5
2500,2,3,2,313,140
3012,2,4,2,377,250
1665,2,3,2,209,110
2370,2,3,2,297,195
1100,2,2,1,138,66
2895.5,2,4,2,362,246
1113,2,2,1,140,70
1200,2,2,1,150,73.2
1070,2,2,1,134,87
1776,2,3,2,222,124
1776,2,3,2,222,150
500,2,1,1,63,18.5
1050,2,2,1,132,65
1170,2,3,2,147,66
595,2,1,1,75,33.32
1445,2,3,2,181,95
1640,2,3,2,205,120
1460,2,3,2,183,90
1179,2,2,1,148,66.02
1122.5,2,2,1,141,58.935
793,2,2,1,100,45
1400,2,2,1,175,78
1215,2,2,1,152,50
1654,2,3,2,207,100
1181,2,2,1,148,55
1200,2,2,1,150,75
595,2,1,1,75,31.83
1105,2,2,1,139,51
1255,2,2,1,157,65.26
1550,2,3,2,194,82
1650,2,3,2,207,122
912,2,2,1,114,55
1218,2,2,1,153,73
1115,2,2,1,140,65.12
1893,2,3,2,237,100
1600,2,3,2,200,95
1275,2,2,1,160,65
892,2,2,1,112,39
1260,2,2,1,158,70
1157,2,2,1,145,40
1150,2,2,1,144,65
1100,2,2,1,138,39
1725,2,3,2,216,110
1850,2,6,3,232,150
950,2,2,1,119,38
1220,2,2,1,153,80
1130,2,2,1,142,78
1486,2,3,2,186,83.22
1015,2,2,1,127,48
1115,2,2,1,140,61
1136,2,2,1,142,48
2700,2,4,2,338,260
1200,2,3,2,150,69
1465,2,3,2,184,76
1302.5,2,2,1,163,67.73
1200,2,2,1,150,65
1240,2,2,1,155,65
1476,2,3,2,185,125
1532.5,2,3,2,192,84.29
1268,2,2,1,159,69
1450,2,3,2,182,87
2932,2,4,2,367,195
960,2,2,1,120,58
1750,2,3,2,219,130
1275,2,2,1,160,73
1240,2,2,1,155,71
1215,2,2,1,152,68
1215,2,2,1,152,68
1894,2,3,2,237,115
1693,2,3,2,212,89
1280,2,2,1,160,60.16
630,2,1,1,79,35
1215,2,2,1,152,68
1365,2,3,2,171,76.18
1115,2,2,1,140,78
1532.5,2,3,2,192,79.465
1655,2,3,2,207,90
1247,2,2,1,156,47.39
1237.5,2,2,1,155,49.49
1650,2,3,2,207,94
905,2,2,1,114,65
1000,2,2,1,125,50
2185,2,4,2,274,120
1012,2,2,1,127,45
1460,2,3,2,183,80
1340,2,2,1,168,85
1711,2,3,2,214,125
1520,2,3,2,190,81
2826,2,3,2,354,148
1115,2,2,1,140,61
1154,2,2,1,145,47
1000,2,2,1,125,44.5
1250,2,2,1,157,48
1640,2,3,2,205,105
1012,2,2,1,127,44
1527,2,3,2,191,115
1550,2,3,2,194,96
1200,2,2,1,150,78
1885,2,3,2,236,125
1450,2,3,2,182,78
700,2,1,1,88,31.2
905,2,2,1,114,58
1920,2,3,2,240,122
2400,2,4,2,300,180
1270,2,2,1,159,45
1520,2,3,2,190,80
1270,2,3,2,159,73
1846,2,3,2,231,120
1122.5,2,2,1,141,61.74
1655,2,3,2,207,95
1206,2,2,1,151,53
1150,2,2,1,144,55
1215,2,2,1,152,65
1510,2,3,2,189,110
1022,2,2,1,128,35
1246,2,2,1,156,47.35
1470,2,3,2,184,85
1160,2,2,1,145,45
970,2,2,1,122,57
1527,2,3,2,191,142
1036,2,2,1,130,105
2600,2,4,2,325,260
1600,2,3,2,200,160
1560,2,2,1,195,145
1800,2,3,2,225,195
1100,2,2,1,138,93
1050,2,2,1,132,103
1180,2,2,1,148,124
1200,2,2,1,150,120
2453,2,4,2,307,250
4500,2,5,3,563,415
1865,2,3,2,234,145
1200,2,2,1,150,90
2400,2,5,3,300,310
1200,2,2,1,150,80
900,2,2,1,113,60
1900,2,3,2,238,150
1200,2,2,1,150,85
1200,2,2,1,150,70
1200,2,2,1,150,65
1779,2,3,2,223,89.61
1300,2,2,1,163,50
1945,2,3,2,244,97.42
1777,2,3,2,223,100
1135,2,2,1,142,43
1276,2,2,1,160,45
1880,2,3,2,235,94.36
1071,2,2,1,134,62
1165,2,2,1,146,43
1636,2,2,1,205,82.89
1779,2,3,2,223,90
1090,2,2,1,137,38.37
2082,2,3,2,261,104
2024,2,3,2,253,103
1097,2,2,1,138,49
1419,2,3,2,178,59
1580,2,3,2,198,75
1559,2,3,2,195,63
1445,2,3,2,181,47.1
1475,2,3,2,185,74
3500,2,3,2,438,185
1100,2,2,1,138,55
1306,2,2,1,164,65
1304,2,3,2,163,65
1411,2,3,2,177,60
815,2,2,1,102,40
1443,2,3,2,181,70
1200,2,2,1,150,44
1200,2,2,1,150,46.8
1160,2,2,1,145,44
1584,2,3,2,198,65
1615,2,3,2,202,59.76
1200,2,2,1,150,43.2
1160,2,2,1,145,44.08
1200,2,2,1,150,45
1615,2,3,2,202,60
1410,2,3,2,177,53
1200,2,2,1,150,37.8
1160,2,2,1,145,40.59
1260,2,2,1,158,46.62
1600,2,3,2,200,58.14
1500,2,3,2,188,70
1160,2,2,1,145,42
1240,2,2,1,155,39.06
1200,2,2,1,150,45
1500,2,3,2,188,55
1410,2,3,2,177,52.17
1583,2,3,2,198,74.4
1170,2,2,1,147,46
1160,2,2,1,145,42.92
1410,2,3,2,177,52.17
1565,2,3,2,196,59.76
1160,2,2,1,145,42
1410,2,3,2,177,53.58
1200,2,2,1,150,45
1200,2,2,1,150,42.6
1160,2,2,1,145,42
1334,2,2,1,167,42.69
1565,2,3,2,196,57.91
1200,2,2,1,150,45.6
1215,2,2,1,152,43.13
1160,2,2,1,145,36.54
1200,2,2,1,150,44.4
1260,2,2,1,158,39.69
2464.5,2,4,2,309,118
1160,2,2,1,145,44
952,2,2,1,119,42
1200,2,2,1,150,42
1240,2,2,1,155,45.88
1200,2,3,2,150,50
1200,2,2,1,150,44
1100,2,2,1,138,42.6
1565,2,3,2,196,57.91
1200,2,2,1,150,44.4
1160,2,2,1,145,36.54
1215,2,2,1,152,43.75
1200,2,2,1,150,44.73
1160,2,2,1,145,42
1410,2,3,2,177,54.99
1767,2,3,2,221,103
1205,2,2,1,151,66
1250,2,2,1,157,76
1000,2,2,1,125,50
1281,2,2,1,161,74
921,2,2,1,116,40
1490,2,3,2,187,98
2039,2,3,2,255,168
1605,2,3,2,201,85
1692,2,3,2,212,88
1220,2,2,1,153,60
1299,2,2,1,163,82
900,2,2,1,113,56
1350,2,2,1,169,79
1286,2,2,1,161,57
3016,2,4,2,377,230
1457,2,2,1,183,85
1195,2,2,1,150,51
1050,2,2,1,132,72
3600,2,4,2,450,260
1310,2,2,1,164,72
924,2,2,1,116,35.11
1785,2,3,2,224,118
1051,2,2,1,132,60
1060,2,2,1,133,65
1100,2,2,1,138,62
1550,2,2,1,194,59
924,2,2,1,116,35.11
1685,2,3,2,211,100
982,2,2,1,123,55
981,2,2,1,123,37.28
1205,2,2,1,151,59
1063,2,2,1,133,58
1201,2,2,1,151,59.99
1325,2,2,1,166,65
1281,2,2,1,161,87
1200,2,2,1,150,52
1785,2,3,2,224,120
1088,2,2,1,136,48
1310,2,2,1,164,85
982,2,2,1,123,37.28
1465,2,2,1,184,90
1767,2,3,2,221,109
924,2,2,1,116,35.11
3600,2,4,2,450,245
1170,2,2,1,147,46.79
1150,2,2,1,144,69.44
1200,2,2,1,150,45
1410,2,2,1,177,92
950,2,2,1,119,35
1015,2,2,1,127,60
1685,2,3,2,211,101
1735,2,3,2,217,105
1685,2,3,2,211,115
1846,2,3,2,231,135
1049,2,2,1,132,51
1211,2,2,1,152,63
1717,2,3,2,215,110
1185,2,2,1,149,47.39
1200,2,2,1,150,62
1251,2,2,1,157,47
960,2,2,1,120,48
1690,2,3,2,212,116
950,2,1,1,119,40
850,2,2,1,107,45
1454,2,2,1,182,90
1195,2,2,1,150,52
1435,2,3,2,180,115
1260,2,2,1,158,83.5
1535,2,3,2,192,90
1047,2,2,1,131,75
1096,2,2,1,137,40
1262,2,2,1,158,47
3200,2,3,2,400,350
4460,2,4,2,558,650
2850,2,3,2,357,470
1300,2,2,1,163,120
1567,2,2,1,196,140
3633,2,4,2,455,550
1688.12,2,2,1,212,270
1805,2,3,2,226,280
1688,2,2,1,211,280
1322,2,2,1,166,68
1351,2,2,1,169,70
1384,2,2,1,173,59
1351,2,2,1,169,74
1432,2,2,1,179,68
1349,2,2,1,169,56.7
1328,2,2,1,166,69
1300,2,2,1,163,55.86
1670,2,3,2,209,99
1444,2,2,1,181,75.97
1447,2,2,1,181,75.97
1700,2,3,2,213,126
1447,2,2,1,181,75.97
1760,2,3,2,220,127
1447,2,2,1,181,75.97
1949,2,3,2,244,129
1760,2,3,2,220,128
1447,2,2,1,181,75.97
2439,2,4,2,305,185
1444,2,2,1,181,75.97
1205,2,2,1,151,64.47
1447,2,2,1,181,75.97
2439,2,4,2,305,170
1205,2,2,1,151,68.32
1260,2,2,1,158,69.9
2439,2,4,2,305,170
1707,2,3,2,214,115
970,2,2,1,122,52.5
1277,2,2,1,160,79.89
1703,2,3,2,213,120
1125,2,2,1,141,62
1090,2,2,1,137,52
1112,2,2,1,139,62
2400,2,3,2,300,150
2968,2,3,2,371,225
950,2,2,1,119,58.11
1360,2,2,1,170,110
1125,2,2,1,141,65
950,2,2,1,119,56
1805,2,3,2,226,134
